,prefecture,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
10,Hiroshima,2739161,2754984,2770900,2786907,2803007,2819200,2825302,2831419,2837548,2843691,2849847,2856198,2862564,2868944,2875339,2881748,2881181,2880614,2880047,2879481,2878915,2878460,2878005,2877550,2877096,2876642,2873456,2870274,2867096,2863921,2860750,2857585,2854424,2851267,2848113,2844963,2835852,2826771,2817719,2808696,2803608.3748427057,2799422.0405160696,2796140.97593028,2793906.7529381183,2779763.838416272,2775577.5040899557,2772296.4395041084,2770062.2165109785,2755919.3019883474,2751732.9676628504,2748451.9030766417
11,Hokkaido,5575989,5596527,5617140,5637830,5658596,5679439,5672262,5665095,5657936,5650787,5643647,5653348,5663066,5672801,5682552,5692321,5690467,5688615,5686763,5684912,5683062,5671953,5660867,5649802,5638758,5627737,5603261,5578892,5554629,5530471,5506419,5481628,5456950,5432382,5407925,5383579,5351403,5319420,5287628,5256026,5208477.074599031,5183669.152020942,5160887.191203246,5140562.063077793,5096108.454594522,5071300.532017405,5048518.571199531,5028193.44307114,4983739.834585525,4958931.912010848,4936149.951191896
12,Hyogo,5144892,5171252,5197747,5224378,5251145,5278050,5303207,5328483,5353881,5379399,5405040,5404407,5403774,5403141,5402509,5401877,5431294,5460871,5490610,5520510,5550574,5558556,5566550,5574555,5582572,5590601,5590107,5589613,5589120,5588626,5588133,5577866,5567618,5557390,5547180,5536989,5522516,5508081,5493683,5479324,5460552.465914202,5452690.751782522,5448159.644333842,5447818.246477837,5411298.077370715,5403436.363240972,5398905.255791948,5398563.857930084,5362043.688818349,5354181.974693406,5349650.867242251
13,Ibaraki,2558007,2590567,2623541,2656935,2690755,2725005,2748665,2772532,2796605,2820888,2845382,2867078,2888939,2910968,2933164,2955530,2961534,2967551,2973580,2979622,2985676,2983571,2981467,2979366,2977265,2975167,2974086,2973007,2971927,2970848,2969770,2959314,2948894,2938512,2928166,2917857,2907615,2897410,2887240,2877107,2856269.240892468,2845849.4657183536,2835366.9210479856,2824815.856932154,2815163.669078606,2804743.8939044755,2794261.349234104,2783710.2851183154,2774058.0972647914,2763638.322090634,2753155.7774202796
14,Ishikawa,1119304,1125831,1132397,1139001,1145643,1152325,1154775,1157230,1159691,1162156,1164628,1167699,1170779,1173867,1176963,1180068,1180249,1180431,1180613,1180795,1180977,1179583,1178191,1176801,1175412,1174026,1173177,1172328,1171481,1170634,1169788,1166682,1163585,1160496,1157415,1154343,1150012,1145698,1141399,1137117,1131237.6147244351,1128405.0095831233,1126197.895885546,1124773.5392878768,1116460.545610407,1113627.94046945,1111420.8267718095,1109996.4701730676,1101683.4764947516,1098850.8713546747,1096643.7576566443
15,Iwate,1421927,1424256,1426589,1428925,1431266,1433611,1430258,1426914,1423577,1420248,1416928,1417443,1417958,1418473,1418989,1419505,1418839,1418174,1417509,1416844,1416180,1409896,1403641,1397413,1391213,1385041,1373883,1362816,1351838,1340948,1330147,1319924,1309780,1299714,1289725,1279814,1265647,1251638,1237784,1224083,1204718.4108412818,1193773.830244548,1183199.0287974607,1173022.0269811864,1157278.7350786892,1146334.1544820196,1135759.3530349198,1125582.351218453,1109839.0593157874,1098894.4787192952,1088319.6772721186
17,Kagawa,999864,1004364,1008884,1013425,1017987,1022569,1022737,1022906,1023074,1023243,1023412,1024129,1024848,1025566,1026286,1027006,1026181,1025357,1024534,1023711,1022890,1020783,1018681,1016583,1014489,1012400,1009066,1005744,1002432,999131,995842,991995,988163,984346,980543,976756,971395,966063,960761,955488,948173.3867278418,944266.3529475711,940741.4306690303,937677.9932332546,930017.5633246761,926110.5295445849,922585.6072660116,919522.1698296942,911861.7399206839,907954.7061410426,904429.7838622705
18,Kagoshima,1784623,1791499,1798401,1805331,1812287,1819270,1814960,1810661,1806371,1802092,1797824,1797103,1796383,1795663,1794943,1794224,1792615,1791007,1789401,1787797,1786194,1779541,1772914,1766311,1759732,1753179,1743689,1734251,1724864,1715527,1706242,1694585,1683009,1671511,1660092,1648752,1636471,1624281,1612183,1600174,1577278.103949743,1565898.445459479,1554845.7876125916,1544206.8088539757,1530067.1021897541,1518687.4436996838,1507634.7858527582,1496995.807093554,1482856.100428862,1471476.4419392797,1460423.7840921408
19,Kanagawa,6924348,7023020,7123099,7224604,7327555,7431974,7538556,7646666,7756328,7867561,7980391,8032799,8085552,8138652,8192100,8245899,8294146,8342676,8391489,8440587,8489974,8549459,8609361,8669682,8730427,8791597,8842354,8893404,8944749,8996391,9048331,9064074,9079845,9095643,9111469,9127323,9149220,9171170,9193173,9215228,9244058.404171793,9257377.63933558,9267115.537653051,9272459.23055617,9319364.522457985,9332683.75761992,9342421.655937688,9347765.348846376,9394670.640752528,9407989.875909936,9417727.77422974
20,Kumamoto,1790327,1799712,1809146,1818630,1828163,1837747,1838262,1838778,1839293,1839809,1840326,1844203,1848088,1851981,1855883,1859793,1859703,1859613,1859523,1859433,1859343,1855909,1852480,1849058,1845642,1842233,1837244,1832269,1827308,1822360,1817426,1811293,1805181,1799090,1793019,1786969,1777127,1767340,1757607,1747927,1736462.4125796831,1729827.7154452275,1723849.8600962888,1718645.0519152961,1705083.519947684,1698448.8228134906,1692470.967464505,1687266.1592827188,1673704.6273144681,1667069.9301809403,1661092.0748316615
