,prefecture,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
32,Osaka,38062800,38489903,38921800,38779126,38636975,38495345,38354235,38213642,38073564,37934000,38563622,39203694,39854391,40515887,41188364,42588893.09120177,43327940.98414353,44099900.82282943,44909803.51215409,45262727.61025725,46001775.50333703,46773735.34234567,47583638.03147787,47936562.12973857,48675610.02267273,49447569.861542344
33,Saga,2891900,2951143,3011600,2970779,2930513,2890792,2851609,2812958,2774830,2737220,2827535,2920830,3017203,3116756,3219595,3431421.578198773,3538534.9937143754,3645259.2837671395,3750718.3257399485,3835372.84695777,3942486.262467913,4049210.5525031984,4154669.594490203,4239324.115703713,4346437.53121238,4453161.821258189
34,Saitama,20855700,20981520,21108100,21080319,21052574,21024867,20997195,20969560,20941962,20914400,21433648,21965787,22511138,23070029,23642796,24754408.867324695,25255039.43475017,25693761.064212404,26051813.407843955,26999084.97892925,27499715.546280727,27938437.175725892,28296489.519576117,29243761.090758063,29744391.65806494,30183113.28753362
35,Shiga,6026100,6021598,6017100,5992334,5967671,5943109,5918649,5894289,5870029,5845870,6046899,6254842,6469936,6692427,6922569,7405891.62660495,7659045.651628067,7919842.167055985,8188245.445459381,8311431.823763454,8564585.848787013,8825382.364175258,9093785.642591668,9216972.0208711,9470126.045903778,9730922.561306575
36,Shimane,2455200,2480568,2506200,2488108,2470147,2452316,2434614,2417039,2399591,2382270,2440731,2500626,2561992,2624863,2689278,2823270.41607263,2893086.2841675896,2964947.461346383,3038971.307109896,3078011.8887436064,3147827.756848123,3219688.9340312756,3293712.7798084333,3332753.361448559,3402569.229544147,3474430.4067203645
37,Shizuoka,16776400,16851780,16927500,16706918,16489212,16274342,16062272,15852965,15646387,15442500,15899407,16369833,16854178,17352853,17866284,18929613.75810529,19475640.63326042,20028604.06092957,20586542.30164364,20952321.17696255,21498348.05211164,22051311.479787666,22609249.720550574,22975028.59593424,23521055.470979877,24074018.898701295
38,Tochigi,8234999,8251732,8268500,8256216,8243951,8231705,8219476,8207266,8195074,8182900,8388150,8598548,8814224,9035310,9261942,9746479.926107887,10011583.729468685,10296681.01830113,10605279.510397438,10645709.693660662,10910813.496946402,11195910.785720335,11504509.277798325,11544939.46101245,11810043.264384367,12095140.553194685
39,Tokushima,2724100,2683598,2643700,2693461,2744159,2795812,2848437,2902052,2956677,3012330,3053212,3094649,3136649,3179218,3222366,3314460.113618451,3365389.629093894,3420902.835349568,3481977.4113376867,3486915.7059457814,3537845.221428007,3593358.4276821967,3654433.0036592074,3659371.2982556503,3710300.813749906,3765814.0199970086
40,Tokyo,91086299,91691390,92300500,92667744,93036449,93406622,93778267,94151392,94526000,94902100,98735680,102724119,106873671,111190845,115682412,125159668.44533557,130131169.62860814,135247021.71329096,140498932.5549416,142776982.5835774,147748483.7646944,152864335.84901655,158116246.6915417,160394296.7209518,165365797.90224275,170481649.98776135
41,Tottori,2022900,2011015,1999200,1966176,1933698,1901756,1870342,1839447,1809062,1779180,1801454,1824007,1846842,1869964,1893375,1939054.777717461,1960331.9404525051,1979903.2362821235,1997276.3180618535,2031621.7438690944,2052898.9065956473,2072470.2024301586,2089843.2842132763,2124188.7100299615,2145465.8727512453,2165037.168590124
42,Toyama,4779200,4716336,4654300,4624928,4595741,4566739,4537920,4509283,4480826,4452550,4540539,4630267,4721768,4815078,4910232,5108037.333622467,5211679.989406429,5319120.780179584,5430828.361830246,5485496.544845184,5589139.200631231,5696579.991380928,5808287.573029116,5862955.756019328,5966598.411825963,6074039.20257725
43,Wakayama,3517299,3459881,3403400,3427952,3452681,3477589,3502676,3527945,3553395,3579030,3611538,3644341,3677443,3710845,3744551,3811456.253489769,3843897.558164839,3875176.0749328984,3904916.0175094986,3945316.0561423465,3977757.3608172657,4009035.877589682,4038775.820159122,4079175.8587844,4111617.163478127,4142895.6802393147
44,Yamagata,4038000,4122466,4208700,4140605,4073612,4007703,3942860,3879067,3816305,3754559,3864376,3977404,4093738,4213475,4336714,4601044.759304665,4745830.466626449,4901428.957677588,5069621.230478237,5088946.325174632,5233732.032485446,5389330.523550891,5557522.796326381,5576847.891024735,5721633.5983437635,5877232.08940924
45,Yamaguchi,5846900,5843599,5840300,5858520,5876796,5895130,5913521,5931970,5950476,5969040,6043452,6118793,6195072,6272303,6350497,6509710.690580233,6590698.331040773,6672605.102312019,6755435.096707627,6820552.074682946,6901539.715099677,6983446.486364534,7066276.480784032,7131393.458775394,7212381.099199614,7294287.870484435
46,Yamanashi,3215900,3226133,3236400,3219316,3202322,3185418,3168603,3151877,3135239,3118690,3203429,3290471,3379878,3471714,3566046,3763295.363468216,3866759.7932177815,3973797.00196876,4084656.5750216446,4135977.7428124053,4239442.172578456,4346479.381339127,4457338.954353685,4508660.122128467,4612124.551907089,4719161.760654982
